Variable,Variable name (raw),Variable name (clean),Measurement unit,Allowed values,Description
Time to complete survey,Duration..in.seconds.,time,Numeric,0-Inf,Measured in seconds
Time to first click on page showing participant information form,Q54_First.Click,pif_First.Click,Numeric,0-Inf,Measured in seconds
Time to last click on page showing participant information form,Q54_Last.Click,pif_Last.Click,Numeric,0-Inf,Measured in seconds
Time to submission of page showing participant information form,Q54_Page.Submit,pif_Page.Submit,Numeric,0-Inf,Measured in seconds
Total clicks on page showing participant information form,Q54_Click.Count,pif_Click.Count,Numeric,1-Inf,
Consent,Q48,pcf,Numeric,"1 = Yes, 2 = No",Particiapnt read a consent form and indicated whether they provide informed consent to the study
Time to first click on page showing participant consent form,Q55_First.Click,pcf_First.Click,Numeric,0-Inf,Measured in seconds
Time to last click on page showing participant consent form,Q55_Last.Click,pcf_Last.Click,Numeric,0-Inf,Measured in seconds
Time to submission of page showing participant consent form,Q55_Page.Submit,pcf_Page.Submit,Numeric,0-Inf,Measured in seconds
Total clicks on page showing participant consent form,Q55_Click.Count,pcf_Click.Count,Numeric,1-Inf,
Age,Q42,age,Numeric,18-Inf,Age of participant in years
Gender,Q44,gender,Numeric,"1 = Male, 2 = Female, 3 = Other",Gender of participant
Education,Q45,education,Numeric,"1 = Primary school, 2 = High school/tertiary school, 3 = trade/tafe qualification, 4 = undergraduate degree, 5 = postgraduate qualification",Level of participant education
Willing to continue,Q46,willing,Numeric,"1 = Yes, 2 = No","Question was worded ""This study will require you to write out several of your responses. Are you willing to continue with this study? If you select no, the survey will be closed."""
Time to first click on page showing demographic questions,Q53_First.Click,demographics_First.Click,Numeric,0-Inf,"Due to error, this was not recorded"
Time to last click on page showing demographic questions,Q53_Last.Click,demographics_Last.Click,Numeric,0-Inf,"Due to error, this was not recorded"
Time to submission of page showing demographic questions,Q53_Page.Submit,demographics_Page.Submit,Numeric,0-Inf,"Due to error, this was not recorded"
Total clicks on page showing demographic questions,Q53_Click.Count,demographics_Click.Count,Numeric,1-Inf,"Due to error, this was not recorded"
Climate change definition,Q10,define,Text,Any text,Participant described climate change in their own words
Time to first click on page showing Q10,Q50_First.Click,define_First.Click,Numeric,0-Inf,Measured in seconds
Time to last click on page showing Q10,Q50_Last.Click,define_Last.Click,Numeric,0-Inf,Measured in seconds
Time to submission of page showing Q10,Q50_Page.Submit,define_Page.Submit,Numeric,0-Inf,Measured in seconds
Total clicks on page showing Q10,Q50_Click.Count,define_Click.Count,Numeric,1-Inf,
Climate change happening,Q11,happening,Numeric,"1 = Yes, 2 = Maybe, 3 = No",Participant indicated whether climate change is currently happening
Time to first click on page showing Q11,Q51_First.Click,happening_First.Click,Numeric,0-Inf,Measured in seconds
Time to last click on page showing Q11,Q51_Last.Click,happening_Last.Click,Numeric,0-Inf,Measured in seconds
Time to submission of page showing Q11,Q51_Page.Submit,happening_Page.Submit,Numeric,0-Inf,Measured in seconds
Total clicks on page showing Q11,Q51_Click.Count,happening_Click.Count,Numeric,1-Inf,
Climate change possible,Q13,possible,Numeric,"1 = Yes, 2 = Maybe, 3 = No",Participant indicated whether climate change was possible. Only asked for those who indicated climate change was not currently happening (Q11/happening = 3)
Time to first click on page showing Q13,Q52_First.Click,possible_First.Click,Numeric,0-Inf,Measured in seconds
Time to last click on page showing Q13,Q52_Last.Click,possible_Last.Click,Numeric,0-Inf,Measured in seconds
Time to submission of page showing Q13,Q52_Page.Submit,possible_Page.Submit,Numeric,0-Inf,Measured in seconds
Total clicks on page showing Q13,Q52_Click.Count,possible_Click.Count,Numeric,1-Inf,
Comprehension,Q1,list.test,Numeric,text,Comprehension check to ensure participant understood the free list task. Required participants to list three animals.
Time to first click on page showing Q1,Q56_First.Click,list.test_First.Click,Numeric,0-Inf,Measured in seconds
Time to last click on page showing Q1,Q56_Last.Click,list.test_Last.Click,Numeric,0-Inf,Measured in seconds
Time to submission of page showing Q1,Q56_Page.Submit,list.test_Page.Submit,Numeric,0-Inf,Measured in seconds
Total clicks on page showing response to Q1,Q56_Click.Count,list.test_Click.Count,Numeric,1-Inf,
Time to first click on page showing response to Q1,Q57_First.Click,list.test.check_First.Click,Numeric,0-Inf,Measured in seconds. Participant could view their response and make changes.
Time to last click on page showing response to Q1,Q57_Last.Click,list.test.check_Last.Click,Numeric,0-Inf,Measured in seconds. Participant could view their response and make changes.
Time to submission of page showing response to Q1,Q57_Page.Submit,list.test.check_Page.Submit,Numeric,0-Inf,Measured in seconds. Participant could view their response and make changes.
Total clicks on page showing response to Q1,Q57_Click.Count,list.test.check_Click.Count,Numeric,1-Inf,Participant could view their response and make changes.
N/A,X1_Q25,N/A,N/A,N/A,"Not applicable, as participants never encountered this measure."
N/A,X1_Q60_First.Click,N/A,N/A,N/A,"Not applicable, as participants never encountered this measure."
N/A,X1_Q60_Last.Click,N/A,N/A,N/A,"Not applicable, as participants never encountered this measure."
N/A,X1_Q60_Page.Submit,N/A,N/A,N/A,"Not applicable, as participants never encountered this measure."
N/A,X1_Q60_Click.Count,N/A,N/A,N/A,"Not applicable, as participants never encountered this measure."
List of causes,X1_Q20,list.cause,Text,text,Free list of climate change causes
Comments on list of causes,X1_Q24,list.cause.comment,Text,text,"Participant comment to ""help researchers understand your list"""
Time to first click on page showing X1_Q20 & X1_Q24,X1_Q61_First.Click,list.cause_First.Click,Numeric,0-Inf,Measured in seconds
Time to last click on page showing X1_Q20 & X1_Q24,X1_Q61_Last.Click,list.cause_Last.Click,Numeric,0-Inf,Measured in seconds
Time to submission of page showing X1_Q20 & X1_Q24,X1_Q61_Page.Submit,list.cause_Page.Submit,Numeric,0-Inf,Measured in seconds
Total clicks on page showing X1_Q20 & X1_Q24,X1_Q61_Click.Count,list.cause_Click.Count,Numeric,1-Inf,
N/A,X2_Q25,N/A,N/A,N/A,"Not applicable, as participants never encountered this measure."
N/A,X2_Q60_First.Click,N/A,N/A,N/A,"Not applicable, as participants never encountered this measure."
N/A,X2_Q60_Last.Click,N/A,N/A,N/A,"Not applicable, as participants never encountered this measure."
N/A,X2_Q60_Page.Submit,N/A,N/A,N/A,"Not applicable, as participants never encountered this measure."
N/A,X2_Q60_Click.Count,N/A,N/A,N/A,"Not applicable, as participants never encountered this measure."
List of consequences,X2_Q20,list.conseq,Text,text,Free list of climate change consequences
Comments on list of consequences,X2_Q24,list.conseq.comment,Text,text,"Participant comment to ""help researchers understand your list"""
Time to first click on page showing X2_Q20 & X2_Q24,X2_Q61_First.Click,list.conseq_First.Click,Numeric,0-Inf,Measured in seconds
Time to last click on page showing X2_Q20 & X2_Q24,X2_Q61_Last.Click,list.conseq_Last.Click,Numeric,0-Inf,Measured in seconds
Time to submission of page showing X2_Q20 & X2_Q24,X2_Q61_Page.Submit,list.conseq_Page.Submit,Numeric,0-Inf,Measured in seconds
Total clicks on page showing X2_Q20 & X2_Q24,X2_Q61_Click.Count,list.conseq_Click.Count,Numeric,1-Inf,
Can society mitigate climate change (the issue or idea)?,X3_Q25,can.mitigate,Numeric,"1 = Yes, 2 = Maybe, 3 = No","Wording differed depending on *condition*. If condition = 1, ""Could society do something to stop or reduce climate change?"". If condition = 2, ""Suppose climate change is occuring. In this situation, could society do something to stop or reduce climate change?"". If condition = 3, ""Suppose some climate scientists claim they believe climate change is happening. In this situation, could society do something to stop or reduce the claims of these climate scientists?"""
Time to first click on page showing X3_Q25,X3_Q60_First.Click,can.mitigate_First.Click,Numeric,0-Inf,Measured in seconds
Time to last click on page showing X3_Q25,X3_Q60_Last.Click,can.mitigate_Last.Click,Numeric,0-Inf,Measured in seconds
Time to submission of page showing X3_Q25,X3_Q60_Page.Submit,can.mitigate_Page.Submit,Numeric,0-Inf,Measured in seconds
Total clicks on page showing X3_Q25,X3_Q60_Click.Count,can.mitigate_Click.Count,Numeric,1-Inf,
List of mitigation strategies,X3_Q20,list.mitig,Text,text,Free list of mitigation strategies
Comments on list of mitigation strategies,X3_Q24,list.mitig.comment,Text,text,"Participant comment to ""help researchers understand your list"""
Time to first click on page showing X3_Q20 & X3_Q24,X3_Q61_First.Click,list.mitig_First.Click,Numeric,0-Inf,Measured in seconds
Time to last click on page showing X3_Q20 & X3_Q24,X3_Q61_Last.Click,list.mitig_Last.Click,Numeric,0-Inf,Measured in seconds
Time to submission of page showing X3_Q20 & X3_Q24,X3_Q61_Page.Submit,list.mitig_Page.Submit,Numeric,0-Inf,Measured in seconds
Total clicks on page showing X3_Q20 & X3_Q24,X3_Q61_Click.Count,list.mitig_Click.Count,Numeric,1-Inf,
Mental model scale: cause 01,Q28_1,mms.cause_1,Numeric,"1-7 (1 = ""Not a cause at all"", 7 = ""A major cause"")","Question = ""Please indicate to what extent each of the following is a cause of climate change, to the best of your knowledge: Carbon dioxide emissions"""
Mental model scale: cause 02,Q28_2,mms.cause_2,Numeric,"1-7 (1 = ""Not a cause at all"", 7 = ""A major cause"")","Question = ""Please indicate to what extent each of the following is a cause of climate change, to the best of your knowledge: Volcanic eruptions"
Mental model scale: cause 03,Q28_3,mms.cause_3,Numeric,"1-7 (1 = ""Not a cause at all"", 7 = ""A major cause"")","Question = ""Please indicate to what extent each of the following is a cause of climate change, to the best of your knowledge: Destruction of tropical forests"
Mental model scale: cause 04,Q28_4,mms.cause_4,Numeric,"1-7 (1 = ""Not a cause at all"", 7 = ""A major cause"")","Question = ""Please indicate to what extent each of the following is a cause of climate change, to the best of your knowledge: Livestock production"
Mental model scale: cause 05,Q28_5,mms.cause_5,Numeric,"1-7 (1 = ""Not a cause at all"", 7 = ""A major cause"")","Question = ""Please indicate to what extent each of the following is a cause of climate change, to the best of your knowledge: Nuclear energy"
Mental model scale: cause 06,Q28_6,mms.cause_6,Numeric,"1-7 (1 = ""Not a cause at all"", 7 = ""A major cause"")","Question = ""Please indicate to what extent each of the following is a cause of climate change, to the best of your knowledge: People heating and cooling their homes"
Mental model scale: cause 07,Q28_7,mms.cause_7,Numeric,"1-7 (1 = ""Not a cause at all"", 7 = ""A major cause"")","Question = ""Please indicate to what extent each of the following is a cause of climate change, to the best of your knowledge: The ozone hole in the upper atmosphere"
Mental model scale: cause 08,Q28_8,mms.cause_8,Numeric,"1-7 (1 = ""Not a cause at all"", 7 = ""A major cause"")","Question = ""Please indicate to what extent each of the following is a cause of climate change, to the best of your knowledge: Population growth"
Mental model scale: cause 09,Q28_9,mms.cause_9,Numeric,"1-7 (1 = ""Not a cause at all"", 7 = ""A major cause"")","Question = ""Please indicate to what extent each of the following is a cause of climate change, to the best of your knowledge: People driving their cars"
