"Duration..in.seconds.","Q54_First.Click","Q54_Last.Click","Q54_Page.Submit","Q54_Click.Count","Q48","Q55_First.Click","Q55_Last.Click","Q55_Page.Submit","Q55_Click.Count","Q42","Q44","Q45","Q46","Q53_First.Click","Q53_Last.Click","Q53_Page.Submit","Q53_Click.Count","Q10","Q50_First.Click","Q50_Last.Click","Q50_Page.Submit","Q50_Click.Count","Q11","Q51_First.Click","Q51_Last.Click","Q51_Page.Submit","Q51_Click.Count","Q13","Q52_First.Click","Q52_Last.Click","Q52_Page.Submit","Q52_Click.Count","Q1","Q56_First.Click","Q56_Last.Click","Q56_Page.Submit","Q56_Click.Count","Q57_First.Click","Q57_Last.Click","Q57_Page.Submit","Q57_Click.Count","X1_Q25","X1_Q60_First.Click","X1_Q60_Last.Click","X1_Q60_Page.Submit","X1_Q60_Click.Count","X1_Q20","X1_Q24","X1_Q61_First.Click","X1_Q61_Last.Click","X1_Q61_Page.Submit","X1_Q61_Click.Count","X2_Q25","X2_Q60_First.Click","X2_Q60_Last.Click","X2_Q60_Page.Submit","X2_Q60_Click.Count","X2_Q20","X2_Q24","X2_Q61_First.Click","X2_Q61_Last.Click","X2_Q61_Page.Submit","X2_Q61_Click.Count","X3_Q25","X3_Q60_First.Click","X3_Q60_Last.Click","X3_Q60_Page.Submit","X3_Q60_Click.Count","X3_Q20","X3_Q24","X3_Q61_First.Click","X3_Q61_Last.Click","X3_Q61_Page.Submit","X3_Q61_Click.Count","Q28_1","Q28_2","Q28_3","Q28_4","Q28_5","Q28_6","Q28_7","Q28_8","Q28_9","Q28_10","Q28_11","Q28_12","Q37","Q64_First.Click","Q64_Last.Click","Q64_Page.Submit","Q64_Click.Count","Q32_1","Q32_2","Q32_3","Q32_4","Q32_5","Q32_6","Q32_7","Q32_8","Q32_9","Q32_10","Q32_11","Q39","Q65_First.Click","Q65_Last.Click","Q65_Page.Submit","Q65_Click.Count","Q35_1","Q35_2","Q35_3","Q35_4","Q35_5","Q35_6","Q35_7","Q35_8","Q35_9","Q35_10","Q35_11","Q40","Q66_First.Click","Q66_Last.Click","Q66_Page.Submit","Q66_Click.Count","resp1","resp2","condition","firstlist","otherprompt","qID1","qID2","qID3","preamble","freelist","listitem","scalenumber","itemrefer","showprompt","id","completion_order","new","in.soft.launch"
"Duration (in seconds)","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","Dr Mark Hurlstone

School of Psychological Science, M304

The University of Western Australia

35 Stirling Highway, Crawley WA 6009

Tel: + 61 8 6488 3249         

Email: https://research-repository.uwa.edu.au/en/persons/mark-hurlstone

 

Participant Consent Form
 

Exploring Public Perceptions of Climate Change
 

I (the participant) confirm that I am above 18 years of age and have read the information provided. I agree to participate in this research project, realizing that I may withdraw at any time without reason and without prejudice.

 

I understand that all identifiable information that I provide is treated as confidential and will not be released by the investigator in any form that may identify me unless I have consented to this. The only exception to this principle of confidentiality is if this information is required by law to be released.

 

Please mouse click on the “Yes” button below if you consent to take part in this study, otherwise mouse click on the “No” button if you do not consent to take part in this study.","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","What is your age (in years)?","What is your gender?","What is the highest level of schooling you have completed or the highest degree you have recieved?","This study will require you to write out several of your responses. Are you willing to continue with this study? If you select no, the survey will be closed.","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","In your own words, please briefly describe what climate change is:","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","According to your own definition of climate change, is climate change currently happening?","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","According to your own definition of climate change, could climate change ever happen?","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","In this survey, you will be asked to write lists of your thoughts on climate change. When writing a list, please type out each item on a separate line
 

As practice, please list three animals in the text box below.



For example, a list of ""cat, dog, mouse"" would be entered as:


 

Please remember to begin a new line for each animal.","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","are causing climate change - When answering this question, consider whether society could do something, rather than whether they should.","Timing - are causing climate change - Timing - First Click","Timing - are causing climate change - Timing - Last Click","Timing - are causing climate change - Timing - Page Submit","Timing - are causing climate change - Timing - Click Count","are causing climate change - This is [CurrentLoopNumber] of [TotalLoops] lists.





This question may be difficult. Please take your time. If you are unsure, give your best guesses.

Remember to begin a new line following each response.","are causing climate change - Are there any comments you would like to add to help researchers understand your list?","Timing - are causing climate change - Timing - First Click","Timing - are causing climate change - Timing - Last Click","Timing - are causing climate change - Timing - Page Submit","Timing - are causing climate change - Timing - Click Count","could happen as a result of climate change (by the year 2050) - When answering this question, consider whether society could do something, rather than whether they should.","Timing - could happen as a result of climate change (by the year 2050) - Timing - First Click","Timing - could happen as a result of climate change (by the year 2050) - Timing - Last Click","Timing - could happen as a result of climate change (by the year 2050) - Timing - Page Submit","Timing - could happen as a result of climate change (by the year 2050) - Timing - Click Count","could happen as a result of climate change (by the year 2050) - This is [CurrentLoopNumber] of [TotalLoops] lists.





This question may be difficult. Please take your time. If you are unsure, give your best guesses.

Remember to begin a new line following each response.","could happen as a result of climate change (by the year 2050) - Are there any comments you would like to add to help researchers understand your list?","Timing - could happen as a result of climate change (by the year 2050) - Timing - First Click","Timing - could happen as a result of climate change (by the year 2050) - Timing - Last Click","Timing - could happen as a result of climate change (by the year 2050) - Timing - Page Submit","Timing - could happen as a result of climate change (by the year 2050) - Timing - Click Count","climate change - When answering this question, consider whether society could do something, rather than whether they should.","Timing - climate change - Timing - First Click","Timing - climate change - Timing - Last Click","Timing - climate change - Timing - Page Submit","Timing - climate change - Timing - Click Count","climate change - This is [CurrentLoopNumber] of [TotalLoops] lists.





This question may be difficult. Please take your time. If you are unsure, give your best guesses.

Remember to begin a new line following each response.","climate change - Are there any comments you would like to add to help researchers understand your list?","Timing - climate change - Timing - First Click","Timing - climate change - Timing - Last Click","Timing - climate change - Timing - Page Submit","Timing - climate change - Timing - Click Count","Please indicate to what extent each of the following is a cause of climate change, to the best of your knowledge - Carbon dioxide emissions","Please indicate to what extent each of the following is a cause of climate change, to the best of your knowledge - Volcanic eruptions","Please indicate to what extent each of the following is a cause of climate change, to the best of your knowledge - Destruction of tropical forests","Please indicate to what extent each of the following is a cause of climate change, to the best of your knowledge - Livestock production","Please indicate to what extent each of the following is a cause of climate change, to the best of your knowledge - Nuclear energy","Please indicate to what extent each of the following is a cause of climate change, to the best of your knowledge - People heating and cooling their homes","Please indicate to what extent each of the following is a cause of climate change, to the best of your knowledge - The ozone hole in the upper atmosphere","Please indicate to what extent each of the following is a cause of climate change, to the best of your knowledge - Population growth","Please indicate to what extent each of the following is a cause of climate change, to the best of your knowledge - People driving their cars","Please indicate to what extent each of the following is a cause of climate change, to the best of your knowledge - Use of electricity from coal and oil","Please indicate to what extent each of the following is a cause of climate change, to the best of your knowledge - The use of aerosol spray cans","Please indicate to what extent each of the following is a cause of climate change, to the best of your knowledge - Air pollution from toxic chemicals","[QID38-QuestionText]","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","This is [Field-scalenumber] of 3 pages of survey questions.
Please rate for each of the following how likely it is as a consequence of climate change by the year 2050 - Food shortages where you live","This is [Field-scalenumber] of 3 pages of survey questions.
Please rate for each of the following how likely it is as a consequence of climate change by the year 2050 - More and larger storms in many parts of the world","This is [Field-scalenumber] of 3 pages of survey questions.
Please rate for each of the following how likely it is as a consequence of climate change by the year 2050 - Disappearance of island nations due to sea level rise","This is [Field-scalenumber] of 3 pages of survey questions.
Please rate for each of the following how likely it is as a consequence of climate change by the year 2050 - Increase in your chances of suffering from a serious disease","This is [Field-scalenumber] of 3 pages of survey questions.
Please rate for each of the following how likely it is as a consequence of climate change by the year 2050 - Increased rates of serious disease all over the world","This is [Field-scalenumber] of 3 pages of survey questions.
Please rate for each of the following how likely it is as a consequence of climate change by the year 2050 - More and longer droughts in many parts of the world","This is [Field-scalenumber] of 3 pages of survey questions.
Please rate for each of the following how likely it is as a consequence of climate change by the year 2050 - Decrease in your standard of living","This is [Field-scalenumber] of 3 pages of survey questions.
Please rate for each of the following how likely it is as a consequence of climate change by the year 2050 - Food shortages in many parts of the world","This is [Field-scalenumber] of 3 pages of survey questions.
Please rate for each of the following how likely it is as a consequence of climate change by the year 2050 - Climate refugees","This is [Field-scalenumber] of 3 pages of survey questions.
Please rate for each of the following how likely it is as a consequence of climate change by the year 2050 - Increased poverty in many parts of the world","This is [Field-scalenumber] of 3 pages of survey questions.
Please rate for each of the following how likely it is as a consequence of climate change by the year 2050 - Massive species extinctions","[QID38-QuestionText]","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","This is [Field-scalenumber] of 3 pages of survey questions.
In the following you will find a number of steps that we may take to reduce or stop climate change. For each, assume that only that step will be taken. Consider each step separately from the rest. If it matters to your answer, assume that this step is taken all around the world. Please rate for each step what effect you think it would have on climate change - Funding research to make renewable energy technologies cheaper and more effective","This is [Field-scalenumber] of 3 pages of survey questions.
In the following you will find a number of steps that we may take to reduce or stop climate change. For each, assume that only that step will be taken. Consider each step separately from the rest. If it matters to your answer, assume that this step is taken all around the world. Please rate for each step what effect you think it would have on climate change - Reducing air pollution from toxic chemicals","This is [Field-scalenumber] of 3 pages of survey questions.
In the following you will find a number of steps that we may take to reduce or stop climate change. For each, assume that only that step will be taken. Consider each step separately from the rest. If it matters to your answer, assume that this step is taken all around the world. Please rate for each step what effect you think it would have on climate change - Increasing taxes on all fossil fuels (e.g., gasoline, oil, coal, kerosene)","This is [Field-scalenumber] of 3 pages of survey questions.
In the following you will find a number of steps that we may take to reduce or stop climate change. For each, assume that only that step will be taken. Consider each step separately from the rest. If it matters to your answer, assume that this step is taken all around the world. Please rate for each step what effect you think it would have on climate change - Changing lifestyles to reduce consumption","This is [Field-scalenumber] of 3 pages of survey questions.
In the following you will find a number of steps that we may take to reduce or stop climate change. For each, assume that only that step will be taken. Consider each step separately from the rest. If it matters to your answer, assume that this step is taken all around the world. Please rate for each step what effect you think it would have on climate change - Creating an international market to trade permissions to emit carbon dioxide","This is [Field-scalenumber] of 3 pages of survey questions.
In the following you will find a number of steps that we may take to reduce or stop climate change. For each, assume that only that step will be taken. Consider each step separately from the rest. If it matters to your answer, assume that this step is taken all around the world. Please rate for each step what effect you think it would have on climate change - Requiring cars and trucks to have higher fuel efficiency","This is [Field-scalenumber] of 3 pages of survey questions.
In the following you will find a number of steps that we may take to reduce or stop climate change. For each, assume that only that step will be taken. Consider each step separately from the rest. If it matters to your answer, assume that this step is taken all around the world. Please rate for each step what effect you think it would have on climate change - Fertilising the oceans to make algae grow","This is [Field-scalenumber] of 3 pages of survey questions.
In the following you will find a number of steps that we may take to reduce or stop climate change. For each, assume that only that step will be taken. Consider each step separately from the rest. If it matters to your answer, assume that this step is taken all around the world. Please rate for each step what effect you think it would have on climate change - Limiting population growth","This is [Field-scalenumber] of 3 pages of survey questions.
In the following you will find a number of steps that we may take to reduce or stop climate change. For each, assume that only that step will be taken. Consider each step separately from the rest. If it matters to your answer, assume that this step is taken all around the world. Please rate for each step what effect you think it would have on climate change - Largely replacing fossil fuels with nuclear energy","This is [Field-scalenumber] of 3 pages of survey questions.
In the following you will find a number of steps that we may take to reduce or stop climate change. For each, assume that only that step will be taken. Consider each step separately from the rest. If it matters to your answer, assume that this step is taken all around the world. Please rate for each step what effect you think it would have on climate change - Putting more dust in the atmosphere","This is [Field-scalenumber] of 3 pages of survey questions.
In the following you will find a number of steps that we may take to reduce or stop climate change. For each, assume that only that step will be taken. Consider each step separately from the rest. If it matters to your answer, assume that this step is taken all around the world. Please rate for each step what effect you think it would have on climate change - Planting trees","[QID38-QuestionText]","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","resp1","resp2","condition","firstlist","otherprompt","qID1","qID2","qID3","preamble","freelist","listitem","scalenumber","itemrefer","showprompt",NA,NA,TRUE,NA
"{""ImportId"":""duration""}","{""ImportId"":""QID54_FIRST_CLICK""}","{""ImportId"":""QID54_LAST_CLICK""}","{""ImportId"":""QID54_PAGE_SUBMIT""}","{""ImportId"":""QID54_CLICK_COUNT""}","{""ImportId"":""QID48""}","{""ImportId"":""QID55_FIRST_CLICK""}","{""ImportId"":""QID55_LAST_CLICK""}","{""ImportId"":""QID55_PAGE_SUBMIT""}","{""ImportId"":""QID55_CLICK_COUNT""}","{""ImportId"":""QID42_TEXT""}","{""ImportId"":""QID44""}","{""ImportId"":""QID45""}","{""ImportId"":""QID46""}","{""ImportId"":""QID53_FIRST_CLICK""}","{""ImportId"":""QID53_LAST_CLICK""}","{""ImportId"":""QID53_PAGE_SUBMIT""}","{""ImportId"":""QID53_CLICK_COUNT""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID50_FIRST_CLICK""}","{""ImportId"":""QID50_LAST_CLICK""}","{""ImportId"":""QID50_PAGE_SUBMIT""}","{""ImportId"":""QID50_CLICK_COUNT""}","{""ImportId"":""QID11""}","{""ImportId"":""QID51_FIRST_CLICK""}","{""ImportId"":""QID51_LAST_CLICK""}","{""ImportId"":""QID51_PAGE_SUBMIT""}","{""ImportId"":""QID51_CLICK_COUNT""}","{""ImportId"":""QID13""}","{""ImportId"":""QID52_FIRST_CLICK""}","{""ImportId"":""QID52_LAST_CLICK""}","{""ImportId"":""QID52_PAGE_SUBMIT""}","{""ImportId"":""QID52_CLICK_COUNT""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID56_FIRST_CLICK""}","{""ImportId"":""QID56_LAST_CLICK""}","{""ImportId"":""QID56_PAGE_SUBMIT""}","{""ImportId"":""QID56_CLICK_COUNT""}","{""ImportId"":""QID57_FIRST_CLICK""}","{""ImportId"":""QID57_LAST_CLICK""}","{""ImportId"":""QID57_PAGE_SUBMIT""}","{""ImportId"":""QID57_CLICK_COUNT""}","{""ImportId"":""1_QID25""}","{""ImportId"":""1_QID60_FIRST_CLICK""}","{""ImportId"":""1_QID60_LAST_CLICK""}","{""ImportId"":""1_QID60_PAGE_SUBMIT""}","{""ImportId"":""1_QID60_CLICK_COUNT""}","{""ImportId"":""1_QID20_TEXT""}","{""ImportId"":""1_QID24_TEXT""}","{""ImportId"":""1_QID61_FIRST_CLICK""}","{""ImportId"":""1_QID61_LAST_CLICK""}","{""ImportId"":""1_QID61_PAGE_SUBMIT""}","{""ImportId"":""1_QID61_CLICK_COUNT""}","{""ImportId"":""2_QID25""}","{""ImportId"":""2_QID60_FIRST_CLICK""}","{""ImportId"":""2_QID60_LAST_CLICK""}","{""ImportId"":""2_QID60_PAGE_SUBMIT""}","{""ImportId"":""2_QID60_CLICK_COUNT""}","{""ImportId"":""2_QID20_TEXT""}","{""ImportId"":""2_QID24_TEXT""}","{""ImportId"":""2_QID61_FIRST_CLICK""}","{""ImportId"":""2_QID61_LAST_CLICK""}","{""ImportId"":""2_QID61_PAGE_SUBMIT""}","{""ImportId"":""2_QID61_CLICK_COUNT""}","{""ImportId"":""3_QID25""}","{""ImportId"":""3_QID60_FIRST_CLICK""}","{""ImportId"":""3_QID60_LAST_CLICK""}","{""ImportId"":""3_QID60_PAGE_SUBMIT""}","{""ImportId"":""3_QID60_CLICK_COUNT""}","{""ImportId"":""3_QID20_TEXT""}","{""ImportId"":""3_QID24_TEXT""}","{""ImportId"":""3_QID61_FIRST_CLICK""}","{""ImportId"":""3_QID61_LAST_CLICK""}","{""ImportId"":""3_QID61_PAGE_SUBMIT""}","{""ImportId"":""3_QID61_CLICK_COUNT""}","{""ImportId"":""QID28_1""}","{""ImportId"":""QID28_2""}","{""ImportId"":""QID28_3""}","{""ImportId"":""QID28_4""}","{""ImportId"":""QID28_5""}","{""ImportId"":""QID28_6""}","{""ImportId"":""QID28_7""}","{""ImportId"":""QID28_8""}","{""ImportId"":""QID28_9""}","{""ImportId"":""QID28_10""}","{""ImportId"":""QID28_11""}","{""ImportId"":""QID28_12""}","{""ImportId"":""QID37_TEXT""}","{""ImportId"":""QID64_FIRST_CLICK""}","{""ImportId"":""QID64_LAST_CLICK""}","{""ImportId"":""QID64_PAGE_SUBMIT""}","{""ImportId"":""QID64_CLICK_COUNT""}","{""ImportId"":""QID32_1""}","{""ImportId"":""QID32_2""}","{""ImportId"":""QID32_3""}","{""ImportId"":""QID32_4""}","{""ImportId"":""QID32_5""}","{""ImportId"":""QID32_6""}","{""ImportId"":""QID32_7""}","{""ImportId"":""QID32_8""}","{""ImportId"":""QID32_9""}","{""ImportId"":""QID32_10""}","{""ImportId"":""QID32_11""}","{""ImportId"":""QID39_TEXT""}","{""ImportId"":""QID65_FIRST_CLICK""}","{""ImportId"":""QID65_LAST_CLICK""}","{""ImportId"":""QID65_PAGE_SUBMIT""}","{""ImportId"":""QID65_CLICK_COUNT""}","{""ImportId"":""QID35_1""}","{""ImportId"":""QID35_2""}","{""ImportId"":""QID35_3""}","{""ImportId"":""QID35_4""}","{""ImportId"":""QID35_5""}","{""ImportId"":""QID35_6""}","{""ImportId"":""QID35_7""}","{""ImportId"":""QID35_8""}","{""ImportId"":""QID35_9""}","{""ImportId"":""QID35_10""}","{""ImportId"":""QID35_11""}","{""ImportId"":""QID40_TEXT""}","{""ImportId"":""QID66_FIRST_CLICK""}","{""ImportId"":""QID66_LAST_CLICK""}","{""ImportId"":""QID66_PAGE_SUBMIT""}","{""ImportId"":""QID66_CLICK_COUNT""}","{""ImportId"":""resp1""}","{""ImportId"":""resp2""}","{""ImportId"":""condition""}","{""ImportId"":""firstlist""}","{""ImportId"":""otherprompt""}","{""ImportId"":""qID1""}","{""ImportId"":""qID2""}","{""ImportId"":""qID3""}","{""ImportId"":""preamble""}","{""ImportId"":""freelist""}","{""ImportId"":""listitem""}","{""ImportId"":""scalenumber""}","{""ImportId"":""itemrefer""}","{""ImportId"":""showprompt""}",NA,NA,TRUE,NA
"1225","0","0","47.316","0","1","0","0","25.987","0","24","1","3","1","","","","","I honestly do not agree that there is ""Climate Change"" more like mother nature doing what she has always done. It is more about people pollution that is causing pollution ie traffic congestion and not enough recycling material","3.805","198.982","200.903","9","3","2.723","2.723","6.813","1","3","2.765","2.765","5.292","1","Cow
Sheep
Dog","24.012","27.405","51.001","2","9.626","9.626","12.603","1","","","","","","So called extreme weather events
Temperature records
Foods","These are normal weather patterns that have been happening since records were taken
","55.72","223.495","224.801","3","","","","","","Nothing i can see happening","We were told by Tim Flannery and the climate council that islands would be gone due to rising sea levels, that has not happened
Tim Flannery said it was no use building dams as it would not rain (we have had record floods )
The Great Barrier Reef would die ( It is a natural phenomina that refreshes the reef and produce new coral)","6.741","209.173","260.661","6","3","4.545","4.545","17.256","1","It is now in my opinion just out of control with no definative evidence presented it is also a left driven claim supported by The Greens and spread by lecturers at Universities","Look closely at THE FACTS
Give me(us) the proof from the climate alarmists","7.416","125.544","195.317","2","1","1","1","1","1","1","1","7","2","1","1","1","No i haven't","3.734","41.327","49.111","18","1","1","1","1","1","1","1","1","1","1","1","No","7.375","27.328","32.934","12","4","4","4","4","4","4","4","4","4","4","4","","6.464","26.952","28.938","11","It is now in my opinion just out of control with no definative evidence presented it is also a left driven claim supported by The Greens and spread by lecturers at Universities","","3","<li>It is now in my opinion just out of control with no definative evidence presented it is also a left driven claim supported by The Greens and spread by lecturers at Universities</li>","","3_QID20","","","some climate scientists claim they believe climate change is happening","society cannot stop or reduce the claims of these climate scientists","reasons why","4","for why","0",1,16,FALSE,TRUE
"580","9.914","11.031","11.955","2","1","0","0","5.457","0","20","2","3","1","","","","","climate change is the altering of the climate (temperature, ozone layer, seasons etc)","1.706","1.71","29.32","2","1","2.423","2.43","3.129","2","","","","","","horse
platypus
echidna","7.654","7.666","17.588","2","8.605","8.605","14.882","1","","","","","","greenhouse gases
carbon monoxide
humans","","4.271","4.271","42.919","1","","","","","","melting of ice caps in Antarctica
more dramatic temperature fluctuations
destruction of the coral reefs (great barrier reef specifically)
more natural disasters","","29.739","43.598","109.212","4","1","4.975","4.975","7.204","1","stop greenhouse gas emissions
stop over development
plant more trees","","1.459","1.459","21.163","1","5","4","5","5","5","4","5","5","5","5","4","5","","4.146","27.145","27.7","20","4","6","5","4","6","6","4","4","5","4","5","","1.317","142.866","143.534","33","3","2","3","3","4","4","4","3","4","4","2","","6.424","59.663","60.332","31","stop greenhouse gas emissions","stop over development","1","<li>stop greenhouse gas emissions</li><li>stop over development</li><li>plant more trees</li>","","3_QID20","","","","society could do to stop or reduce climate change","things that","4","that","0",2,47,FALSE,FALSE
"712","0","0","14.5","0","1","0","0","4.665","0","73","2","4","1","","","","","changes to climate over a period ,often of unknown cause","3.69","3.69","60.761","1","1","10.924","10.924","12.431","1","","","","","","dog
horse
pig","3.711","4.759","34.501","2","0","0","10.697","0","","","","","","natural cycle
human contribution,,,,burning of wood and coal
pollutants from industry","no","2.623","103.59","107.798","3","","","","","","air quality would fall
hotter or cooler weather
","no","7.171","66.834","70.554","2","1","13.625","13.625","15.155","1","phase out industrial pollution
stop use of wood and coal fire in mainly developing countries

","no","3.163","150.73","154.566","5","4","7","5","5","3","7","4","6","5","6","4","4","no","11.391","54.432","59.425","13","3","4","3","3","3","4","3","4","3","4","3","no","12.846","51.59","54.649","12","2","3","5","4","4","4","4","2","3","4","3","no","16.163","62.18","66.216","13","phase out industrial pollution","stop use of wood and coal fire in mainly developing countries","1","<li>phase out industrial pollution</li><li>stop use of wood and coal fire in mainly developing countries</li>","","3_QID20","","","","society could do to stop or reduce climate change","things that","4","that","0",3,89,FALSE,FALSE
"353","0","0","3.54","0","1","0","0","2.013","0","63","2","4","1","","","","","increasing world temperatures leading to rising sea levels and catastrophic climatic conditions and eventually extinctions","1.027","1.027","49.577","1","1","1.342","1.342","2.368","1","","","","","","horse
rat
dog","2.093","14.445","18.266","2","0","0","2.153","0","","","","","","hole in ozone layer caused by
use of fossil fuels
decreasing forests
pollution
","no","1.506","69.469","71.894","3","","","","","","islands disappear
sea levels rise
plants dying
animal extinctions rising rapidly
humans eventually not being able to sustain life","","1.863","1.863","55.001","1","1","2.23","2.23","4.331","1","stop and correct pollution
stop using fossil fuels
reforest the earth","","1.192","1.192","43.276","1","7","4","7","5","5","5","7","7","5","7","6","6","","3.401","23.758","25.193","13","7","7","7","7","7","7","7","7","7","7","7","","3.521","15.1","17.239","11","3","2","1","2","2","1","5","1","5","4","1","","5.853","36.778","38.133","13","stop and correct pollution","stop using fossil fuels","1","<li>stop and correct pollution</li><li>stop using fossil fuels</li><li>reforest the earth</li>","","3_QID20","","","","society could do to stop or reduce climate change","things that","4","that","0",4,62,FALSE,FALSE
"559","8.678","8.678","9.715","1","1","0","0","1.176","0","26","1","4","1","","","","","do not know","0.999","0.999","6.311","1","2","0.889","0.889","1.783","1","","","","","","cat
dog
mouse","1.188","12.574","13.393","4","0","0","1.534","0","","","","","","do not know","do not know","0.742","7.357","8.365","2","","","","","","do not know","do not know","0.687","5.079","8.36","4","2","0.742","1.454","3.804","2","do not know","do not know","1.237","9.548","11.603","4","4","4","4","4","3","3","3","3","4","3","4","4","none","2.671","10.694","12.846","17","4","4","4","4","4","4","4","4","4","4","4","none","1.012","11.599","445.281","16","4","4","4","4","4","4","4","4","4","4","4","none","1.092","7.531","9.932","15","do not know","","2","<li>do not know</li>","","3_QID20","","","climate change is occurring","society could do to stop or reduce climate change","things that","4","that","0",5,82,FALSE,FALSE
"725","0","0","6.76","0","1","0","0","18.342","0","38","1","4","1","","","","","the increasing industry and the reducing ozone layer causing inclimate and unpreditable weather changes","48.142","48.142","79.712","1","1","11.684","11.684","12.999","1","","","","","","rat
slough
porcupine","12.56","76.039","78.014","3","0","0","11.732","0","","","","","","to many cows causing too much methane","na","27.742","27.742","48.195","1","","","","","","the weather becoming to unstable to support life as we know it","","48.309","58.125","76.699","2","1","3.835","3.835","5.465","1","we could all become vegetarians ","na","2.51","60.702","62.64","3","5","5","5","5","4","4","6","4","5","5","6","7","","2.374","46.581","47.784","13","4","5","6","6","6","5","6","5","6","5","6","","34.904","121.591","130.862","13","7","4","3","2","3","2","6","4","3","4","7","","49.473","50.921","58.5","2","we could all become vegetarians ","","1","<li>we could all become vegetarians </li>","","3_QID20","","","","society could do to stop or reduce climate change","things that","4","that","0",6,73,FALSE,FALSE
"619","7.432","7.432","9.401","1","1","0","0","2.95","0","46","2","5","1","","","","","It is the changing of weather patterns/conditions due to the impact of foil fuels","1.984","53.23","56.884","4","1","5.149","5.149","6.49","1","","","","","","cat
dog 
mouse","17.276","25.107","27.488","2","0","0","10.678","0","","","","","","fossil fuels
carbon dioxide","","1.598","70.981","74.049","3","","","","","","loss of animals 
melting polar caps
extreme weather conditions
sea levels rising","","5.582","5.582","39.894","1","1","2.945","2.945","4.168","1","change from fossil fuels to clean energy","","0.868","0.868","188.908","1","7","6","6","5","6","6","6","6","6","6","4","6","","4.741","22.446","23.844","15","6","6","6","6","6","6","6","6","6","6","6","","58.208","82.417","83.986","17","2","2","2","2","2","2","2","2","2","4","2","","22.245","39.128","42.226","12","change from fossil fuels to clean energy","","1","<li>change from fossil fuels to clean energy</li>","","3_QID20","","","","society could do to stop or reduce climate change","things that","4","that","0",7,67,FALSE,FALSE
"912","0","0","7.387","0","1","18.511","18.511","18.893","1","19","1","2","1","","","","","When earth weather pattern changes which will stay for amount of the decade. I also heard it came in 5 parts one of which one of them is the atsmosphere","33.446","105.412","105.739","2","1","3.127","3.127","3.919","1","","","","","","cat
dog
mouse","7.32","7.32","39.297","1","23.148","23.148","31.268","1","","","","","","Air pollution
Deforestation
farming
Fossil Fuel
","","6.182","89.387","97.788","2","","","","","","Temperature rise
","","93.581","93.581","127.469","1","1","3.987","3.987","5.641","1","Renewable Energy
reducing emissions
Land care
Reducing waste ","","3.144","320.592","320.999","4","6","4","7","6","5","5","6","7","7","7","6","5","","6.655","30.295","32.081","13","2","1","3","2","2","6","6","7","6","6","5","","8.363","34.176","35.606","11","6","7","7","5","4","6","6","5","6","3","6","","8.543","50.605","52.269","13","Renewable Energy","reducing emissions","1","<li>Renewable Energy</li><li>reducing emissions</li><li>Land care</li><li>Reducing waste </li>","","3_QID20","","","","society could do to stop or reduce climate change","things that","4","that","0",8,45,FALSE,FALSE
