crib_f2,n,text,fsc_f2,cons,dist_f2,com_f2
Items Ranked at Highest Extreme,2,Scientists should stop falsely claiming that climate change is a settled science.,4,FALSE,TRUE,"Most salient aspect of this perspective is a epistemic denial. Emphasis on a miscontrued science and understanding. Many qual comments
""There is no such thing as settled science""
""it is a load of bullshit thought up by some brain dead idiots in university""
""No one has lived longer than 100 years so no one including know what the weather was like 500 years ago.I believe it is cyclical due to varying earth rotations""
"
Items Ranked Higher in this Factor Array than in Other Factor Arrays,3,Climate change is a hoax perpetrated by the United Nations.,3,FALSE,TRUE,"Not merely scientists [2,], but perpetuated by the UN"
Items Ranked Higher in this Factor Array than in Other Factor Arrays,5,"They changed the name from ""global warming"" to ""climate change"" because the planet isn't warming.",3,FALSE,TRUE,"Combined with [2], emphasises epistemic denial"
Items Ranked Higher in this Factor Array than in Other Factor Arrays,6,The concept of global warming was created by and for the Chinese in order to make U.S. manufacturing non-competitive.,2,FALSE,TRUE,Ulterior motive. Climate change threatens other nations for the benefits of others.
Items Ranked Higher in this Factor Array than in Other Factor Arrays,16,Australian agriculture is thriving so climate change can't be real.,2,FALSE,TRUE,"Combined with [2], climate change cannot be real because evidence contradicts theory"
Items Ranked Higher in this Factor Array than in Other Factor Arrays,18,"Those who demand climate action are the usual ""torch-and-pitchfork"" crowd.",2,FALSE,TRUE,"Climate change mitigation is ineffective/harmful [1]. Qual comments: ""Just like any other protest people need to calm down"""
Items Ranked Higher in this Factor Array than in Other Factor Arrays,29,Oil and gas companies could not care less about climate change.,2,FALSE,TRUE,"With [24], still a demonstration of vested interests. One that happens to serve this profiles own interest [1]"
Items Ranked Higher in this Factor Array than in Other Factor Arrays,7,Cow farts cause more 'climate change' than human activity.,1,FALSE,TRUE,Specific causes less relevant than the overall ambigiuty [2]. The profile seems more closely tied to a form of denial where nothing can be known about the climate.
Items Ranked Higher in this Factor Array than in Other Factor Arrays,24,"No political party can say they have a climate change action plan when they favour coal, oil, and gas companies.",1,FALSE,TRUE,"With [29], still a demonstration of vested interests. One that happens to serve this profiles own interest [1]"
Items Ranked Higher in this Factor Array than in Other Factor Arrays,27,Countries must fulfil their Paris Climate Agreement goals.,1,FALSE,TRUE,"Possibly some loyalty. Nevertheless, statements in this category are generally disagreed with"
Items Ranked Higher in this Factor Array than in Other Factor Arrays,30,Australian politicians need to wake up to the emergency of tackling climate change.,1,FALSE,TRUE,Majority of participants disagreed with this statement.
