"pred","CI_.025_f1","CI_.975_f1","CI_.025_f2","CI_.975_f2","CI_.025_f3","CI_.975_f3"
"MMS_human",0.0780446215021809,0.421324968729101,-0.567192333270598,-0.215808388711078,-0.0387873515327331,0.340118705517055
"MMS_cause_C",-0.0006139875026676,0.35280111348247,-0.371488617279485,-0.117078632711438,-0.103242270616719,0.23658572623215
"MMS_cause_E",-0.100643931660944,0.267155432292824,-0.319859383126161,-0.0565500578786127,-0.0712795820511649,0.311107632039289
"MMS_cause_N",-0.247759072352598,0.0595624988908528,-0.151562401710237,0.20641572819922,-0.103066273400014,0.234172559862242
"MMS_consequence_P",-0.0383543020370108,0.283423455913624,-0.238245203053539,0.0359805944465657,-0.184583464102882,0.129420016031042
"MMS_consequence_S",0.0645856662800353,0.380975743359617,-0.226853769899556,0.0369263890129855,-0.299183165520729,0.0475124425852827
"MMS_mitigation_G",-0.0122994195377326,0.293723606049271,-0.271222786458818,0.0466462457495213,-0.187629263974343,0.132075449431778
"MMS_mitigation_C",-0.0149043637294197,0.36419275026994,-0.258572961356458,0.0178187058237848,-0.245506522026034,0.140789576311763
"MMS_mitigation_E",-0.364886202283544,-0.0205321366211993,-0.15424379757153,0.14480586201147,0.00963965914706492,0.366717080666334
"BFI_10_E",-0.149942382224258,0.13098530258935,-0.178100278557007,0.11890316454424,-0.107500149054957,0.191453608297499
"BFI_10_A",-0.12170567621408,0.185436884702401,-0.19527468737188,0.0932428945601179,-0.125704652734304,0.171678154857124
"BFI_10_C",-0.0915499002252383,0.211214700721128,-0.143769666507878,0.154512529679551,-0.210675013990248,0.091609298267127
"BFI_10_N",-0.0160651194037999,0.286031692425014,-0.289601727646885,0.0258637520142124,-0.159465352768056,0.141276186166598
"BFI_10_O",-0.153615551621548,0.137521837963709,-0.052874427719195,0.242825710531146,-0.232812882276162,0.0693012640266004
"CFC_S_F",-0.0949628047267427,0.248996140541027,-0.324560207033075,0.0328396904507604,-0.103235917564959,0.254196917838413
"CFC_S_I",-0.10656840718163,0.239012321290006,-0.208361732621519,0.101054385618538,-0.195423889210996,0.168685356711522
"CI",-0.351894937243029,-0.0140026536834973,-0.182288041141925,0.162744588531372,0.028995633381382,0.351133455591556
"EWS_E",-0.412778016649746,-0.0411967954860447,0.0150808903530911,0.370602053090838,-0.170161490644629,0.215995967268506
"EWS_D",-0.00549944397084028,0.4329655926498,-0.204316355932322,0.0882427771896031,-0.35948973966034,0.0653837316468614
"NCS_6",-0.317789609021623,0.00888692777863859,-0.0236879253898646,0.315085998969136,-0.141505840458207,0.1734602762381
"PA_r",-0.405888184493836,-0.0291117409919725,0.0132964055812866,0.40594706612288,-0.165703410944261,0.186188557351817
"SJ",-0.120560222886977,0.249207063334462,-0.282035670305035,0.0492016307127804,-0.108345314375009,0.227599448431112
"SS_E",-0.599559117075891,-0.259388603749679,0.158076620064943,0.426878019935127,-0.0247716978690845,0.321111963505475
"SS_R",-0.533978768861126,-0.187028230889557,0.145040717620938,0.397440207419708,-0.0851056912639528,0.268553564901931
"SVSS_C",-0.306124585018415,0.0384222470644957,-0.0622656112469475,0.321236599900977,-0.159476109509996,0.176074490172559
"SVSS_ST",-0.104016976462723,0.203564448302408,-0.121215598744821,0.233088483214184,-0.274650210673776,0.0639245679432413
"W",0.230536731333724,0.599181261863141,-0.493465920779219,-0.181426261625299,-0.241752398619959,0.099483058242769
"KV",-0.337570454555559,0.0179512313705201,0.0394060343120706,0.418904458483739,-0.234404646467865,0.107300751828694
