Statement,Study_2_Acceptor,Study_2_Sceptic,Study_3_Acceptor,Study_3_Sceptic
1. It is important to vote for leaders who will combat climate change.,4,-4,4,-3
2. Climate change is a hoax perpetrated by the United Nations.,-4,3,-4,3
3. Climate change is a threat to the health and safety of our children.,3,-3,3,-4
4. Scientists should stop falsely claiming that climate change is a settled science.,-2,4,-2,4
"5. They changed the name from ""global warming"" to ""climate change"" because the planet isn't warming.",-2,3,-2,3
6. The Great Barrier Reef is at risk from climate change.,3,-2,3,-2
7. Australian agriculture is thriving so climate change can't be real.,-3,2,-3,2
8. The concept of global warming was created by and for the Chinese in order to make U.S. manufacturing non-competitive.,-3,2,-3,1
9. Cow farts cause more 'climate change' than human activity.,-2,1,-2,2
10. The threat of climate change is much worse than climate scientists originally thought.,2,-3,1,-3
11. The increased occurrence of extreme weather events is a clear sign that climate change is real.,2,-2,2,-2
"12. Those who demand climate action are the usual ""torch-and-pitchfork"" crowd.",-2,2,-2,2
13. Climate change sceptics ignore basic climate science facts.,1,-1,1,-2
"14. Through cutting science funding, we damage Australia's ability to respond to climate change.",1,-2,2,-1
15. Politicians who refuse to tackle climate change are just as bad as those who deny climate science.,1,-1,1,-2
16. Australia is experiencing more extreme weather and hotter days due to climate change.,2,-2,2,-1
17. Oil and gas companies could not care less about climate change.,-1,2,-1,2
"18. Climate change policy and renewable energy (e.g., solar power) should be a major focus of Australian political elections.",2,-1,2,0
19. Climate change and human burning of fossil fuels are strongly linked.,0,0,1,-1
20. Countries must fulfil their Paris Climate Agreement goals.,-1,1,-1,1
21. Australian politicians need to wake up to the emergency of tackling climate change.,0,1,-1,1
22. Politicians and the mass media are ignorant about the risks of climate change.,0,-1,0,-1
23. People who deny the science of climate change should not hold public office.,0,-1,0,-1
"24. No political party can say they have a climate change action plan when they favour coal, oil, and gas companies.",-1,1,0,1
"25. It is shameful that climate change, the greatest problem of our time, is barely discussed in the media.",-1,0,-1,0
"26. Regardless of who is elected, the reality is that climate change is going to destroy everything.",-1,0,-1,0
"27. We need to keep coal, oil, and gas in the ground and adopt more renewable energy sources, like solar and wind power.",0,0,0,0
28. Poor people will be impacted the worst by climate change.,1,0,0,0
"29. Climate sceptics, with no genuine expertise, cannot know better than climate scientists.",0,0,0,0
30. We must start working together for real solutions on climate change.,1,1,1,1
