item.original,scale,item.study1,order.item.original,order.item.study1,item.id
Carbon dioxide emissions,cause,Carbon dioxide emissions,9,1,cause-1
Volcanic eruptions,cause,Volcanic eruptions,12,2,cause-2
Destruction of tropical forests,cause,Destruction of tropical forests,5,3,cause-3
Livestock production,cause,Livestock production,8,4,cause-4
Nuclear energy,cause,Nuclear energy,2,5,cause-5
People heating and cooling their homes,cause,People heating and cooling their homes,6,6,cause-6
The ozone hole in the upper atmosphere,cause,The ozone hole in the upper atmosphere,3,7,cause-7
Population growth,cause,Population growth,10,8,cause-8
People driving their cars,cause,People driving their cars,11,9,cause-9
Use of electricity from coal and oil,cause,Use of electricity from coal and oil,7,10,cause-10
The use of aerosol spray cans,cause,The use of aerosol spray cans,4,11,cause-11
Air pollution from toxic chemicals,cause,Air pollution from toxic chemicals,1,12,cause-12
Food shortages where you live,consequence,Food shortages where you live,10,1,consequence-1
More and larger storms in many parts of the world,consequence,More and larger storms in many parts of the world,2,2,consequence-2
Disappearance of island nations due to sea level rise,consequence,Disappearance of island nations due to sea level rise,7,3,consequence-3
Increase in your chances of suffering from a serious disease,consequence,Increase in your chances of suffering from a serious disease,9,4,consequence-4
Increased rates of serious disease all over the world,consequence,Increased rates of serious disease all over the world,8,5,consequence-5
More and longer droughts in many parts of the world,consequence,More and longer droughts in many parts of the world,1,6,consequence-6
Decrease in your standard of living,consequence,Decrease in your standard of living,11,7,consequence-7
Food shortages in many parts of the world,consequence,Food shortages in many parts of the world,4,8,consequence-8
Climate refugees,consequence,Climate refugees,6,9,consequence-9
Increased poverty in many parts of the world,consequence,Increased poverty in many parts of the world,5,10,consequence-10
Massive species extinctions,consequence,Massive species extinctions,3,11,consequence-11
Funding research to make renewable energy technologies cheaper and more effective,mitigation,Funding research to make renewable energy technologies cheaper and more effective,3,1,mitigation-1
Reducing air pollution from toxic chemicals,mitigation,Reducing air pollution from toxic chemicals,1,2,mitigation-2
"Increasing taxes on all fossil fuels (e.g., gasoline, oil, coal, kerosene)",mitigation,"Increasing taxes on all fossil fuels (e.g., gasoline, oil, coal, kerosene)",6,3,mitigation-3
Changing lifestyles to reduce consumption,mitigation,Changing lifestyles to reduce consumption,4,4,mitigation-4
Creating an international market to trade permissions to emit carbon dioxide,mitigation,Creating an international market to trade permissions to emit carbon dioxide,7,5,mitigation-5
Requiring cars and trucks to have higher fuel efficiency,mitigation,Requiring cars and trucks to have higher fuel efficiency,8,6,mitigation-6
Fertilizing the oceans to make algae grow,mitigation,Fertilising the oceans to make algae grow,10,7,mitigation-7
Limiting population growth,mitigation,Limiting population growth,5,8,mitigation-8
Largely replacing fossil fuels with nuclear energy,mitigation,Largely replacing fossil fuels with nuclear energy,11,9,mitigation-9
Putting more dust in the atmosphere,mitigation,Putting more dust in the atmosphere,9,10,mitigation-10
Planting trees,mitigation,Planting trees,2,11,mitigation-11
